;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
Арбат;0,3;0,1;0,1;0,5;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Басманный ;0,3;0,2;0,2;0,5;0,1;0,2;0,7;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Даниловский ;0,3;0,2;0,2;0,5;0,1;0,2;0,7;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Донской ;0,7;0,3;0,3;0,5;0,1;0,2;0,7;0,8;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Дорогомилово;0,3;0,2;0,2;0,5;0,1;0,2;0,7;0,8;0,2;0,2;0,2;0,1;0,2;0,2;0,1;0,1;0,1
Замоскворечье;0,3;0,2;0,2;0,5;0,1;0,2;0,7;0,8;0,2;0,2;0,2;0,1;0,2;0,2;0,1;0,1;0,1
Лефортово;0,3;0,4;0,3;0,7;0,1;0,2;0,7;0,8;0,2;0,2;0,2;0,1;0,7;0,2;0,1;0,1;0,1
Нижегородский ;0,3;0,3;0,3;0,5;0,1;0,2;0,7;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Пресненский ;0,3;0,2;0,2;0,6;0,1;0,2;0,7;0,8;0,2;0,2;0,2;0,1;0,7;0,2;0,1;0,1;0,1
Таганский ;0,3;0,2;0,2;0,6;0,1;0,2;0,7;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Тверской ;0,3;0,2;0,2;0,6;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Хамовники;0,3;0,2;0,2;0,5;0,1;0,2;0,7;0,8;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Южнопортовый ;0,3;0,2;0,2;0,5;0,1;0,2;0,7;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
Якиманка;0,3;0,2;0,2;0,5;0,1;0,2;0,7;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1
