;мужчин;женщин;;фуд ритейл;кафе;ресторан;кофе на вынос;мороженое;стоматология;клиника;ветеринарная клиника;бытовая химия;косметика;парикмахерская;салон красоты;бар;ремонт обуви;ремонт ювелирных изделий;фото;пресса
Арбат;7672;10359;2687;0,4;0,6;0,8;0,6;0,6;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,6;0,1;0,2;0,1;0,2
Басманный ;38592;53127;14535;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,7;0,8;0,8;0,8;0,7;0,1;0,8;0,1;0,2
Даниловский ;31498;42827;11329;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,7;0,1;0,2;0,1;0,2
Донской ;16908;22902;5994;0,4;0,6;0,7;0,6;0,6;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,6;0,1;0,2;0,1;0,2
Дорогомилово;18700;26869;8169;0,4;0,6;0,7;0,6;0,6;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,6;0,1;0,2;0,1;0,2
Замоскворечье;17819;24100;6281;0,4;0,6;0,2;0,6;0,6;0,4;0,2;0,1;0,2;0,1;0,1;0,1;0,6;0,1;0,1;0,1;0,2
Лефортово;30963;42902;11939;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,7;0,1;0,2;0,1;0,2
Нижегородский ;15927;21734;5807;0,4;0,6;0,7;0,6;0,6;0,4;0,2;0,1;0,3;0,2;0,2;0,2;0,6;0,1;0,2;0,1;0,2
Пресненский ;49918;66969;17051;0,6;0,8;0,9;0,6;0,8;0,4;0,2;0,1;0,8;0,9;0,8;0,9;0,8;0,1;0,9;0,1;0,2
Таганский ;50630;68969;18339;0,6;0,8;0,9;0,6;0,8;0,4;0,2;0,1;0,8;0,9;0,8;0,9;0,8;0,1;0,9;0,1;0,2
Тверской ;26035;35716;9681;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,7;0,1;0,2;0,1;0,2
Хамовники;29798;42213;12415;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,1;0,7;0,1;0,1;0,1;0,2
Южнопортовый ;29601;40719;11118;0,5;0,7;0,8;0,6;0,7;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,7;0,1;0,2;0,1;0,2
Якиманка;7368;10680;3312;0,4;0,6;0,8;0,6;0,6;0,4;0,2;0,1;0,3;0,3;0,3;0,2;0,6;0,1;0,2;0,1;0,2
